Dataset,OMOP Concept ID,Domain,Patient Count,Event Count,Description,Terminology,Source Code,Concept Type,Standard OMOP Concept,Mental Disability,Physical Issues,County,Healthcare Facility Type
CPRD AURUM,23034,Condition,18434,20788,Neonatal hypoglycemia,SNOMED,52767006,Standard,23034.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,73019,Condition,514,595,Breast engorgement in newborn,SNOMED,34831003,Standard,73019.0,No,Yes,Tana River,Health Center
CPRD AURUM,73297,Condition,210,246,Resolving infantile idiopathic scoliosis,SNOMED,28801006,Standard,73297.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,76221,Condition,994,1145,Neonatal infective mastitis,SNOMED,3468005,Standard,76221.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,81400,Condition,30,74,Neonatal myasthenia gravis,SNOMED,82178003,Standard,81400.0,No,Yes,Tana River,County Hospital
CPRD AURUM,133594,Condition,1269,1383,Bacterial sepsis of newborn,SNOMED,276669000,Standard,133594.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,137099,Condition,109,163,Neonatal thyrotoxicosis,SNOMED,13795004,Standard,137099.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,138545,Condition,135,310,Progressive infantile idiopathic scoliosis,SNOMED,20980008,Standard,138545.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,141654,Condition,10547,17116,Infantile seborrheic dermatitis,SNOMED,200776003,Source,4249474.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,193323,Condition,78,241,Neonatal diabetes mellitus,SNOMED,49817004,Standard,193323.0,No,Yes,Tana River,Health Center
CPRD AURUM,198870,Condition,45,48,Transitory ileus of newborn,SNOMED,82368005,Standard,198870.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,200524,Condition,68,93,Disorder of digestive system specific to fetus OR newborn,SNOMED,42357009,Standard,200524.0,No,Yes,Kwale,County Hospital
CPRD AURUM,201136,Condition,8567,11183,Omphalitis of the newborn,SNOMED,42052009,Standard,201136.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,201675,Condition,299,902,"Polycystic kidney disease, infantile type",SNOMED,28770003,Standard,201675.0,No,Yes,Tana River,County Hospital
CPRD AURUM,252442,Condition,142,146,Neonatal aspiration of blood,SNOMED,206294001,Standard,252442.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,258866,Condition,51440,59397,Respiratory distress syndrome in the newborn,SNOMED,46775006,Standard,258866.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,318247,Condition,4988,5862,Apnea in the newborn,SNOMED,13094009,Standard,318247.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,319138,Condition,2220,2556,Respiratory condition of fetus OR newborn,SNOMED,17849001,Standard,319138.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,321683,Condition,10725,11807,Transitory tachypnea of newborn,SNOMED,7550008,Standard,321683.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,372423,Condition,245,402,Reduction deformities of brain,SNOMED,204032005,Source,45765628.0,No,Yes,Lamu,County Hospital
CPRD AURUM,372849,Condition,94,159,Overlapping malignant neoplasm of brain and other parts of the central nervous system,SNOMED,109911004,Standard,372849.0,No,Yes,Tana River,County Hospital
CPRD AURUM,372887,Condition,10249,20969,Disorder of brain,SNOMED,81308009,Standard,372887.0,No,Yes,Mombasa,Health Center
CPRD AURUM,373179,Condition,2203,4864,Senile degeneration of brain,SNOMED,45864009,Standard,373179.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,373684,Condition,25,40,Amebic brain abscess,SNOMED,27908001,Standard,373684.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,373724,Condition,1342,2839,Neoplasm of brain,SNOMED,126952004,Standard,373724.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,373770,Condition,1139,1404,"Infantile, juvenile and presenile cataracts",SNOMED,193571008,Source,375545.0,No,Yes,Tana River,Health Center
CPRD AURUM,373870,Condition,250,308,Neonatal dacryocystitis and conjunctivitis,SNOMED,206345004,Standard,373870.0,No,Yes,Lamu,Private Clinic
